date,code,rank,brand,product,price
20260323,A000000217635,59,고려은단,[올영단독] 고려은단 최고심 비타민C 쏠라C 젤리스틱 10포 (10일분),9900
20260323,A000000245078,60,리쥬란,[먹는 리쥬란 PDRN 젤리] 리쥬란 이너닷 DNA 글로우 젤리 14포 (14일분),37000
20260323,A000000226406,61,뉴트리원라이프,뉴트리원라이프 건강한 요로엔 크랜베리 60캡슐 (1개월분),26900
20260323,A000000172168,62,그린몬스터,[50억 보장] 그린몬스터 이너블라썸 질 유래 유산균 30캡슐 (1개월분),16900
20260323,A000000244289,63,8APM,8APM 식물성 멜라토닌 함유 멜라피스 800mg 30정 (1개월분),25800
20260323,A000000205728,64,마그랩,마그랩 마칼디 60정(30일분) 마그네슘 칼슘 비타민D 비타민 K,16200
20260323,A000000142317,65,화이트턴온,더 화이트 턴 온 30정,24900
20260323,A000000245948,66,멜라메이트,멜라메이트 구미 로우슈가 20구미 (20일분),8900
20260323,A000000211903,67,푸드올로지,푸드올로지 톡스올로지 클렌즈 비움 PRO 50ml*6병 (6회분),19480
20260323,A000000243875,68,나티아,나티아 PDRN 다이렉트 30매 (1개월분),32900
20260323,A000000246509,69,잠백이,잠백이 저스트 크레아틴 대용량 1.2kg,18900
20260323,A000000236997,70,올더뮤,올더뮤 뮤신 딥글로우 자두맛 7포 (+2포 증정),18500
20260323,A000000198838,71,알디콤,[1+1]알디콤 숙취해소제 15ml 4포입,14800
20260323,A000000229402,72,에스더포뮬러,[골라담기] 에스더포뮬러 국민영양 11종 택1,9700
20260323,A000000237815,73,닥터아돌,닥터아돌 위디어트 히카바이오틱스 하이드록시 시트르산 21포 (21일분),30200
20260323,A000000167142,74,바이너랩,바이너랩 겟글로시 글루타치온 30포(리포솜)(15일분),46000
20260323,A000000154329,75,바이탈헬스,바이탈헬스 바이탈슬림 다이어트 올인원 데이 20포 (10일분),29900
20260323,A000000165656,76,고려은단,고려은단 신바이오틱스 프로바이오틱스&프리바이오틱스 30포 (1개월분),13900
20260323,A000000172122,77,아일로,[아이린 Pick] 아일로 타입1 콜라겐 비오틴 앰플 8+2/28입 (10/28일분),23900
20260323,A000000230067,78,CJ이너비,CJ 이너비 밸런스 이노시톨 젤리 단품/기획 10/10+2/30포,7900
20260323,A000000236754,79,코자아,코자아 식물성 멜라토닌 함유 코자아샷 1/5개입 (1/5일분),28900
