date,code,rank,brand,product,price,star,review,url,period_ym
20260426,92410625172,70,LunorVision,"LunorVision 루노비전, 1박스, 30회분",31170,4.5,2637,https://www.coupang.com/vp/products/8745101153,202604
20260426,85760836984,71,종근당건강,"종근당건강 헬씨칸 로얄 밀크시슬, 30정, 3개",20520,5,32824,https://www.coupang.com/vp/products/1471365225,202604
20260426,94880379352,72,뉴트리정,"뉴트리정 프리미엄 눈건강 루테인 대용량, 1개, 300정",19900,5,1102,https://www.coupang.com/vp/products/9400311452,202604
20260426,92716977090,73,굿헬씨,"굿헬씨 유기농 컬리케일 100 동결건조 곱슬케일 분말 30포, 1개, 30g",11300,4.5,5412,https://www.coupang.com/vp/products/8830016105,202604
20260426,94782659929,74,[판매1위],"[판매1위] 구강유산균M18 식약청인증 닥터파이토 / 퍼펙트 구강 유산균, 2개, 60정",36900,5,893,https://www.coupang.com/vp/products/9407288541,202604
20260426,91766616313,75,순수식품,"순수식품 rTG 오메가3 비타민D 1000mg, 60정, 3개",24380,4.5,10546,https://www.coupang.com/vp/products/1388355334,202604
20260426,86785530279,76,메가도스,"메가도스 비타민C 3000mg, 180g, 2개",29080,5,709,https://www.coupang.com/vp/products/7511006709,202604
20260426,71619989627,77,아이원,"아이원 루테인지아잔틴 미니, 180정, 1개",34220,5,44488,https://www.coupang.com/vp/products/7568064592,202604
20260426,4529156516,78,뉴트리디데이,"뉴트리디데이 프리미엄 멀티비타민 골드, 90정, 1개",11900,5,33801,https://www.coupang.com/vp/products/7311465993,202604
20260426,90639673903,79,뉴케어,"뉴케어 정품 검은깨맛 완전균형영양식, 200ml, 30개",58000,5,42243,https://www.coupang.com/vp/products/8552902211,202604
20260426,3001142330,80,솔가,"솔가 엽산 800, 100정, 1개",20400,5,15252,https://www.coupang.com/vp/products/1253935016,202604
20260426,93137263164,81,뉴트리정,"뉴트리정 가득채운 프리미엄 글루타치온 57000 콜라겐 식약처 인증, 1개, 120정",13900,5,3718,https://www.coupang.com/vp/products/8943399049,202604
20260426,89834915375,82,비타500,"비타500 프레쉬, 100ml, 10개",5920,5,25570,https://www.coupang.com/vp/products/8179929853,202604
20260426,92660219556,83,쏜리서치,"쏜리서치 베이직 뉴트리언트 투퍼데이 소프트젤 캡슐, 60정, 2개",72570,5,8362,https://www.coupang.com/vp/products/6082733474,202604
20260426,89440763589,84,락토핏,"락토핏 당케어 유산균, 120g, 1개",13380,5,18934,https://www.coupang.com/vp/products/7893057219,202604
20260426,90979194059,85,니프젠,"니프젠 스파이크 프리미엄 600mg, 30정, 2개",60800,4.5,7193,https://www.coupang.com/vp/products/8133407448,202604
20260426,90043413839,86,아이클리어,"아이클리어 정품 루테인지아잔틴 아스타잔틴, 30정, 1개",10410,5,10467,https://www.coupang.com/vp/products/8713476265,202604
20260426,80360742496,87,나우푸드,"나우푸드 마그네슘 글리시네이트 타블렛, 180정, 2개",46780,5,11499,https://www.coupang.com/vp/products/1366689007,202604
20260426,90621975333,88,PRONUTRITION,"PRONUTRITION 정품 듀얼플랜 다이어트 유산균 14p, 35g, 1개",35800,4.5,1439,https://www.coupang.com/vp/products/7828668249,202604
20260426,94773097289,89,[비에날씬],"[비에날씬] BNR17 다이어트 유산균 비에날씬 프로, 60정, 2개",97970,4.5,3727,https://www.coupang.com/vp/products/8419662425,202604
20260426,86983543096,90,셀렉스,"셀렉스 프로핏 모카 초콜릿, 250ml, 18개",26290,5,3295,https://www.coupang.com/vp/products/7553257510,202604
20260426,92515830414,91,비에날씬,"비에날씬 BNR17 다이어트 유산균 슬림플러스, 28g, 2개",48800,4.5,2541,https://www.coupang.com/vp/products/8522948260,202604
20260426,3180840912,92,솔가,"솔가 B-컴플렉스 100 베지터블 캡슐, 100정, 1개",22800,5,13696,https://www.coupang.com/vp/products/8136129840,202604
20260426,4281816984,93,일동생활건강,"일동생활건강 하이브리드 에너지 파워젤 청포도, 44g, 10개",14000,5,4735,https://www.coupang.com/vp/products/175610420,202604
20260426,84269176425,94,락토핏,"락토핏 생유산균 베베 60포, 120g, 1개",15900,5,36411,https://www.coupang.com/vp/products/5814969994,202604
20260426,3000279168,95,세노비스,"세노비스 키즈 츄어블 오메가3, 150정, 1개",25720,4.5,11417,https://www.coupang.com/vp/products/7234492632,202604
20260426,5118204077,96,닥터스베스트,"닥터스베스트 MSM 1500mg 타블렛, 120정, 1개",14860,5,25908,https://www.coupang.com/vp/products/4791961748,202604
20260426,3278646203,97,나우푸드,"나우푸드 B-12 1000mcg 로젠지, 250정, 1개",17130,5,3527,https://www.coupang.com/vp/products/3316288,202604
20260426,94313150309,98,뉴케어,"뉴케어 당플랜 미니 호두맛, 150ml, 24개",39900,5,7543,https://www.coupang.com/vp/products/7565771953,202604
20260426,94724208119,99,비에날씬,"비에날씬 BNR17 다이어트 유산균 캡슐, 60정, 1개",49420,4.5,3727,https://www.coupang.com/vp/products/8419662425,202604
20260426,85762194215,100,"미에로화이바,","미에로화이바, 100ml, 20개",10860,5,31275,https://www.coupang.com/vp/products/1651247,202604
20260426,3028894630,101,정원삼,"정원삼 6년근 고려홍삼정 365 스틱 선물세트 + 쇼핑백, 300g, 1개",27700,5,77000,https://www.coupang.com/vp/products/7481220910,202604
20260426,87734225290,102,웰핏,"웰핏 고단백 초유 산양유 콜라겐 단백질, 500g, 3개",29900,4.5,10036,https://www.coupang.com/vp/products/7566310564,202604
20260426,91294300789,103,익스트림,"익스트림 트리플 아르기닌 6200mg, 300ml, 1개",23400,5,19696,https://www.coupang.com/vp/products/7157272883,202604
20260426,94445468332,104,국내산,"국내산 100% 순수 사양벌꿀, 2kg, 1개",14990,5,404,https://www.coupang.com/vp/products/9278925582,202604
20260426,93687865713,105,99바이탈,"99바이탈 편안한 눈 루테인 미니, 1개, 150정",9900,5,2455,https://www.coupang.com/vp/products/8936251513,202604
20260426,94199194487,106,해태htb,"해태htb 구론산 탄산스파클링, 150ml, 30개",18260,5,11651,https://www.coupang.com/vp/products/7093623883,202604
20260426,71742350634,107,뉴케어,"뉴케어 정품 액티브 오리지널, 200ml, 24개",52500,5,23905,https://www.coupang.com/vp/products/7821562659,202604
20260426,90464031524,108,옵티멈뉴트리션,"옵티멈뉴트리션 플레티넘 하이드로 Whey 터보 초콜릿 3.61 lb 1.64 kg, 1.64kg, 1개",140500,5,15365,https://www.coupang.com/vp/products/7320778906,202604
20260426,88356012277,109,센트룸,"센트룸 맨 멀티비타민 112정 코스트코, 1개",34670,5,13221,https://www.coupang.com/vp/products/9335232293,202604
20260426,94446221397,110,뉴케어당플랜,"뉴케어당플랜 인절미맛 영양식, 200ml, 24개",47900,5,7646,https://www.coupang.com/vp/products/8769395642,202604
20260426,3000065023,111,얼라이브,"얼라이브 원스데일리 포 맨 멀티비타민, 60정, 1개",24120,5,59644,https://www.coupang.com/vp/products/9405085004,202604
20260426,94956777880,112,뉴트리정,"뉴트리정 비타민D 5000IU 플러스 대용량, 1개, 300정",14900,5,803,https://www.coupang.com/vp/products/9420864019,202604
20260426,91742539748,113,락토핏,"락토핏 정품 다이어트 유산균 60p, 120g, 2개",29200,5,11733,https://www.coupang.com/vp/products/7956476557,202604
20260426,82973233751,114,네추럴라이즈,"네추럴라이즈 멀티비타민 꾸미, 60정, 1개",13900,5,14373,https://www.coupang.com/vp/products/6745478488,202604
20260426,92660209078,115,쏜리서치,"쏜리서치 베이직 B 컴플렉스 캡슐, 60정, 2개",55130,5,15946,https://www.coupang.com/vp/products/433050,202604
20260426,3705224900,116,락피도,"락피도 비타민D 드롭스 400IU, 10ml, 1개",10300,5,9549,https://www.coupang.com/vp/products/7265822107,202604
20260426,91899791155,117,베스트오브그린,"베스트오브그린 고함량 비타민C 1000mg, 1박스, 300정",15900,5,2021,https://www.coupang.com/vp/products/8586583078,202604
20260426,92589035637,118,조은약초,"조은약초 청정 백숙 티백, 100g, 2개",3630,5,705,https://www.coupang.com/vp/products/8791820985,202604
20260426,86784845111,119,동화약품,"동화약품 부채표 까스활 소화제, 75ml, 10개",7760,5,8307,https://www.coupang.com/vp/products/7510828515,202604
20260426,86785423125,120,덴프스,"덴프스 정품 덴마크 유산균이야기 프로, 60정, 1개",29000,5,2130,https://www.coupang.com/vp/products/7510979869,202604
