date,code,rank,brand,product,price
20260412,A000000172122,1,아일로,[아이린 Pick] 아일로 타입1 콜라겐 비오틴 앰플 8+2/28입 (10/28일분),23900
20260412,A000000236755,2,코자아,코자아 식물성 멜라토닌 함유 젤리/드링크 (단품/기획),27900
20260412,A000000175634,3,푸드올로지,[4월 올영픽/헬로키티콜라보] 콜레올로지 PRO 600mg*30/60정 단품/기획(+키링증정),17900
20260412,A000000183645,4,푸드올로지,[4월 올영픽/헬로키티콜라보] 콜레올로지 컷팅 젤리 단품/기획(+파우치 증정) 레몬/키위/석류,18800
20260412,A000000229795,5,스파톤,스파톤 애플 4종 (7일/14일/28일/42일),7200
20260412,A000000248462,6,바이탈뷰티,[4월 올영픽/리뉴얼] 바이탈뷰티 메타그린 슬림업 단품/리필/기획(+5일 증정),27000
20260412,A000000229934,7,푸드올로지,[4월 올영픽/이은지Pick] 콜레올로지 컷 다이어트 유산균 14/20캡슐 (7/10일분),18100
20260412,A000000247861,8,씨제이웰케어,[골라담기] CJ웰케어 건강루틴 가격혁명 10종 택 1,5900
20260412,B000000249743,9,오쏘몰,[임박특가] 오쏘몰 이뮨 멀티비타민&미네랄 7개입*2박스 (14일분),34900
20260412,A000000180121,10,생활약속,[4월 올영픽] 생활약속 기분전환 알파플러스 10포 (+1포 증정기획),14500
20260412,A000000244929,11,지노마스터,지노마스터 질유산균 30캡슐 기획(+2일분/엽산 6정 증정기획) (30일분) (OY단독),27400
20260412,A000000188804,12,오니스트,[4월 올영픽] 오니스트 트리플콜라겐 오렌지 14일 루틴 단품/기획(+2포),28900
20260412,A000000204000,13,오니스트,[4월 올영픽] 오니스트 트리플샤인 포도 14일+2일 루틴 단품/기획,26900
20260412,A000000218073,14,닥터아돌,[품절대란] 닥터아돌 카테킨 아세로라 바베이도스 체리C D 60정 / 히카바이오틱스 위디어트 21포,29100
20260412,A000000249509,15,지노마스터,[올영단독] 지노마스터 질유산균 70캡슐 (70일분),59000
20260412,A000000245977,16,퓨레카,[앨리스펑크PICK/4월 올영픽] 퓨레카 그린즈 워터믹스 7포 4종/크런치 2종 택 1 (마시는 3초 샐러드),9900
20260412,A000000164736,17,고려은단,고려은단 비타민C1000 이지+비타민D 120정 (60일분),10900
20260412,A000000218546,18,멜라메이트,식물성 멜라토닌 함유 멜라메이트 구미 (20/50구미),9900
20260412,A000000244985,19,비비랩,비비랩 저분자콜라겐 S 30포 단품/기획 (+10포 증정 기획)(40일분)(OY단독)(26.02),15900
20260412,A000000193086,20,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 14입 단품/기획 (14일분),59900
20260412,A000000200143,21,바이오코어유산균,CJ 바이오코어 피부면역유산균 100억 30+10포 / 30캡슐,13950
