date,code,rank,brand,product,price,star,review
20260410,82081965637,1,종근당건강,"종근당건강 프로메가 오메가3 트리플, 60정, 1개",9930,5,128373
20260410,3549112936,2,종근당,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",14200,5,173684
20260410,4637889550,3,락토핏,"락토핏 정품 골드 80포, 160g, 1개",18500,5,211329
20260410,3350139303,4,세노비스,"세노비스 정품 마그네슘, 90정, 1개",15200,5,28887
20260410,70393847331,5,나우푸드,"나우푸드 마그네슘 글리시네이트 타블렛, 180정, 1개",22410,5,10664
20260410,85873889893,6,덴프스,"덴프스 정품 덴마크 유산균이야기, 30정, 2개",24900,5,61803
20260410,4437221243,7,종근당건강,"종근당건강 정품 비타민D 2000IU, 90정, 1개",10980,5,44333
20260410,4222306695,8,뉴트리코스트,"뉴트리코스트 정품 크레아틴 분말, 300g, 1개",23900,5,11687
20260410,86014198724,9,뉴케어,"뉴케어 구수한맛 미니 완전균형영양식, 150ml, 24개",31890,5,94321
20260410,85387691552,10,메가도스,"메가도스 비타민C 3000mg, 180g, 1개",17900,5,55594
20260410,4765824657,11,스포츠리서치,"스포츠리서치 1040mg 오메가-3 피쉬 오일 트리플 스트렝스 소프트젤, 180정, 1개",53980,5,74378
20260410,3179568952,12,[Jarrow,"[Jarrow Formulas] 자로우 포뮬러스 도피러스 EPS 유산균 100억 CFU, 120정, 1개",34030,5,44569
20260410,3180741512,13,나우푸드,"나우푸드 실리마린 밀크 시슬 추출물 300mg 베지 캡슐, 200정, 1개",28400,5,65732
20260410,93446140230,14,푸드올로지,"푸드올로지 톡스올로지 클렌즈 48시간 ABC, 1L, 1개",24800,4.5,10010
20260410,4551861290,15,박카스,"박카스 에프액, 120ml, 20개",14830,5,101135
20260410,4442233327,16,동화약품,"동화약품 부채표 까스활 소화제, 75ml, 20개",15300,5,76409
20260410,4102497417,17,종근당,"종근당 정품 활력 비타민B 플러스, 60정, 1개",14360,5,38521
20260410,90822727624,18,WHOLELIFE,"WHOLELIFE 유기농 레몬즙 14p, 280g, 1개",4700,4.5,15350
20260410,93308703427,19,식물성,"식물성 멜라토닌 1일 2mg 함유 멜라 테아닌 나잇 식약청인증 HACCP 자주가게, 1개, 60정",13300,5,28547
20260410,91597791472,20,종근당건강,"종근당건강 알티지 오메가3 듀얼, 60정, 3개",29980,5,112267
20260410,77582829254,21,아이클리어,"아이클리어 루테인지아잔틴, 30정, 3개",23670,5,172515
20260410,3000177635,22,바이탈프로그램,"바이탈프로그램 정품 비타민C 1000mg, 600정, 1개",25600,5,64323
20260410,3180741511,23,나우푸드,"나우푸드 더블 스트랭스 L-아르기닌 1000mg 타블렛, 120정, 1개",20070,5,28721
20260410,4443055448,24,종근당,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 2개",27340,5,173684
20260410,86203376145,25,프로메가,"프로메가 오메가3 트리플 39.24g, 60정, 3개",27980,5,128373
