date,code,rank,brand,product,price,star,review,period_ym
20260412,9669821031,1,고려은단몰,"고려은단 식물성 퓨어 알티지 오메가3 60캡슐, 3개 (6개월분)",53900,4.9,94258,202604
20260412,7999337429,2,그레인온,그레인온 골드 카무트 효소,105000,4.9,89024,202604
20260412,4755872512,3,비에날몰,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,297000,4.8,86067,202604
20260412,5866524379,4,고려은단몰,"고려은단 메가도스C 비타민C 3000mg X 100포 (300g), 2개",53900,4.9,99999,202604
20260412,138663861,5,고려은단비타민C,고려은단 비타민C 1000 600정 X 1개 (20개월분),50000,4.9,99999,202604
20260412,12168694379,6,식이해법연구소,고체 레몬즙 레모너리 2박스 120정,54500,4.7,1301,202604
20260412,8950954958,7,덴프스,덴마크 유산균이야기,460000,4.9,99999,202604
20260412,232155349,8,GNM 자연의품격,GNM 조정석 건강한 간 밀크씨슬 5박스(총 5개월분) / 간건강 실리마린 비타민B,35900,4.8,99999,202604
20260412,7997787940,9,닥터린 공식스토어,[6개입] 닥터린 송중기 철갑상어 콘드로이친 1200 맥스 저분자 뮤코다당단백,234000,4.8,25664,202604
20260412,8990669497,10,닥터파이토,닥터파이토 덴티백 구강유산균 BLIS M18 프로바이오틱스 프리바이오틱스,180000,4.9,7625,202604
20260412,9914864124,11,뉴트라이트,비에날씬 BNR17 비엔날씬 유산균 BMR17 김희선 다이어트 유산균 60캡슐 1개 보냉백,45800,4.8,1741,202604
20260412,12058710926,12,GNM 자연의품격,GNM 올리브오일 1000mg 30캡슐 5박스 / 유기농 엑스트라버진 올리브유,65000,4.9,12117,202604
20260412,4989004696,13,조선비책,조선비책 침향환 초고함량 발효 침향 효능 침향단 체내흡수2.5배 침향원 1박스60환,608000,4.9,68409,202604
20260412,4762660973,14,피에이치365,피에이치365 아기유산균 프로바이오틱스 베이비 돌 유아 아이,45000,4.9,99999,202604
20260412,11753835293,15,종근당건강,[+멤버십 10%적립] 종근당건강 락토핏 코어 360 기획세트(360일분),125000,4.9,39805,202604
20260412,5579280566,16,GNM 자연의품격,[총 9개월분] GNM 칼슘 마그네슘 아연 비타민D 90정 x 3병 / 칼마디,43900,4.9,56058,202604
20260412,7888865954,17,GNM 자연의품격,[종합비타민+밀크씨슬 +루테인+오메가3]GNM 올인원 뉴트리션 멀티비타민 1박스,70000,4.9,39856,202604
20260412,2386338454,18,GNM 자연의품격,[총 8개월분] GNM 마그네슘05 / 비타민B 5중 복합기능성 셀레늄,59000,4.8,33678,202604
20260412,5684175077,19,동아제약,멀티비타민 오쏘몰 이뮨 비타민 7입x4개+2입 (총 30일분) 이뮨샷,129000,4.9,79974,202604
20260412,11146379810,20,락티브,[6개월분] 락티브 식물성 멜라토닌 2mg 함유 멜라드림,90000,4.7,38172,202604
20260412,7738435345,21,고려은단몰,"고려은단 프로바이오틱스 유산균 스페셜핏 100억 유산균 30캡슐, 3개",50900,4.9,39750,202604
20260412,5159725770,22,GNM 자연의품격,GNM 조정석 루테인 지아잔틴 아스타잔틴 3박스(총 3개월분),79900,4.9,44847,202604
20260412,9396259383,23,고려은단몰,"고려은단 루테인 지아잔틴 아스타잔틴 60캡슐, 3개 (6개월분)",68900,4.9,57732,202604
20260412,4506725608,24,샵인터내셔널,킹 프리미엄 프로바이오틱스 모유 생 유산균 500mg x 60캡슐 2개월분,37000,4.8,99999,202604
20260412,9901115383,25,고려은단몰,"고려은단 식물성 퓨어 알티지 오메가3 기억력+ 60캡슐, 3개",47900,4.9,66113,202604
20260412,9327855716,26,그레인온,그레인온 골드카무트효소G,75000,4.8,24828,202604
20260412,7285790085,27,뉴트리 모어,[3+1] 뉴트리모어 프리미엄 액상 리포퍼 철분제 임산부 수유부 산후영양제 24mg,156000,4.9,31453,202604
20260412,438888608,28,GNM 자연의품격,[식물성캡슐] GNM 코엔자임Q10 비타민 미네랄 10종 4박스 / 코큐텐,49900,4.8,80802,202604
20260412,5184170043,29,고려은단몰,"고려은단 비타민C 1000 이지+비타민D 180정, 2개 (6개월분)",31900,4.9,99999,202604
20260412,4854494954,30,힐리오비타,캐나다 초임계 알티지오메가3 EPA DHA 1200 비타민D 2개월분,42000,4.8,15786,202604
20260412,9319091551,31,워너비인,[공식판매처] 마가보감 프리미엄 100% 울릉도 마가목 열매 추출물 60mlX60포 박스 마가목즙,349000,4.8,610,202604
20260412,6043695503,32,로킷아메리카,"로킷아메리카 NMN 프테로스틸벤 고순도 엔엠엔, 60캡슐, 3병",267000,4.9,9463,202604
20260412,12727841644,33,대웅제약 공식건강몰,에너씨슬 집중샷 오렌지1박스+샤인머스캣 2박스 식물성카페인 아르기닌 스터디젤리,195000,4.9,815,202604
20260412,9718326638,34,대상웰라이프 본사쇼핑몰,뉴케어 미니 구수한맛 균형영양식 환자영양식 150 mL 32팩,64000,4.9,24365,202604
20260412,11311792713,35,위바이옴,서울대 위바이옴 두뇌엔 닥터PS 맥스 순도80% 포스파티딜세린 분말,396000,4.8,6073,202604
20260412,9240775762,36,비시스,고려은단 비타민C 1000 영국산 고함량 비타민씨 600정,50400,4.9,9133,202604
20260412,11848200059,37,닥터가,비타도스C 3000 순수 비타민C 고함량 비타민씨 고용량 분말 가루 스틱,180000,4.9,32819,202604
20260412,12154127416,38,CJ웰케어 스토어,[슈퍼적립 / 6개월분] CJ 바이오코어 500억 보장 부자 화사 유산균 상온보관 프로바이오틱스,388000,4.9,53788,202604
20260412,12968163569,39,몸에날씬,퀘르포민정 염증지방배출제,300000,4.6,314,202604
20260412,10718647050,40,락티브,[4개월분] 락티브 미오이노시톨 앤 콜린 엽산 비타민c 비타민d,196000,4.9,29720,202604
20260412,11243018665,41,고려은단몰,"고려은단 퓨어 밀크씨슬 180정, 1개 (6개월분)",32000,4.9,38848,202604
20260412,10829472054,42,Soltice,[슈퍼적립] 솔티스 눈 프로텍션 프로S3 3박스 눈 건강,59700,4.7,7657,202604
20260412,13025500740,43,웰니스픽,티제로 피부면역 부스터,60000,4.7,212,202604
20260412,12236379753,44,종근당건강,[+멤버십 10%적립] 종근당건강 프로메가 알티지 오메가3 듀얼 비타민D 4000IU,114800,4.9,5023,202604
20260412,6721400779,45,주영엔에스,주영엔에스 뼈엔 엠비피MBP,207000,4.9,99999,202604
20260412,12337936724,46,고려은단몰,"고려은단 코엔자임Q10 90캡슐, 2개 (6개월분)",37800,4.9,11205,202604
20260412,10556547785,47,정관장브랜드스토어,[네이버단독] 정관장 에브리타임 소프트 10ml 50포,129000,4.9,43325,202604
20260412,11130723021,48,이알하나,이알하나 ERr731 갱년기 시나몬랩 중년 여성 영양제 80mg x 28정 6세트 (24주분),252000,4.8,2564,202604
20260412,5045791382,49,뉴트리케어,유한양행 엘레나 질유산균 임산부 수유부 프로바이오틱스 90캡슐 여성 질 건강 유산균 성인,150000,4.8,44732,202604
20260412,11122300857,50,블루존 스토어,엔자이메디카 흡수율 9.6배 향상 파이토좀 베르베린 파이토솜 60캡슐 3병,129800,4.8,3390,202604
20260412,8473114714,51,유한양행 본사직영몰,유한양행 엘레나 질유산균 임산부 수유부 프로바이오틱스,115000,4.9,99999,202604
20260412,9243303137,52,티에스shop,센트룸 실버 포 우먼 종합 멀티 비타민 영양제 112정 비타민B12 대용량,36900,4.8,9776,202604
20260412,11038594172,53,고려은단몰,"고려은단 메가도스C 비타민C 2000mg X 100포 (200g), 2개",37900,4.9,27813,202604
20260412,11585234218,54,고려은단몰,"[네이버 단독]고려은단 메가도스D 비타민D3 4000IU 180정, 2개 (1년분)",37900,4.9,24815,202604
20260412,8238403743,55,비타헬스,종근당 비타민d 2000iu 임산부 성인 비타민d3 3개월분,15000,4.9,12977,202604
20260412,9953260627,56,뉴트리코어,[5개월] 뉴트리코어 WCS 포스파티딜세린 PS 순도 85% 피에스,525000,4.8,19153,202604
20260412,6732450907,57,비타헬스,종근당 칼마디 칼슘 마그네슘 비타민d 아연 영양제 임산부 3개월분,20000,4.9,3070,202604
20260412,7612468361,58,힘가네,힘가네 배 도라지청 약도라지청 도라지 진액 국산 650g,100000,4.8,38933,202604
20260412,11574019686,59,우북이,종근당 락토핏 생유산균 골드 150포 5개월분 리뉴얼 50포 x 3통,38170,4.9,2548,202604
20260412,6796683774,60,뷰티노리터1,(최신상품) 인셀덤딥톡스 딥톡플러스 라이프닝 60포,81090,4.9,6175,202604
20260412,11957648841,61,올록담,올록담 올리브3 EVOO 지중해 올리브오일 캡슐 올리브유 3개월분,324000,4.8,2074,202604
20260412,10476190810,62,셀로닉스,셀티아이 골드 프로바이오틱스 성인 장 건강 맞춤 유산균,100000,4.9,11090,202604
20260412,9585651284,63,비토노헬스케어,비토노 이왕재박사 메가 비타민C 2000mg 고함량 영국산 분말 비타민씨,99800,4.9,31121,202604
20260412,12765563240,64,고려은단몰,"고려은단 뼈건강 칼마디+K2 칼슘·마그네슘·비타민D·비타민K 60정, 3개 (6개월분)",53700,4.9,2434,202604
20260412,9806724450,65,위드바인 스토어,위드바인 비타민C 3000mg 120포 (1일 2회 2개월분),48000,4.9,6819,202604
20260412,12275880717,66,헬스네이처스토어,Granny Salad 그래니 샐러드,42900,4.7,2316,202604
20260412,12784780309,67,YK STORE,닥터파이토 덴티백 PRO 구강유산균 m18 1박스,23640,4.7,122,202604
20260412,12913969396,68,닥터린 공식스토어,[네이버 단독 100일분] 닥터린 송중기 하이퍼셀 대마종자유 알파 햄프씨드오일 카나비노이드,113000,4.8,3029,202604
20260412,10532848731,69,뉴트리 포유,뉴트리포유 올인원 멀티 비타민 듀얼 이뮨샷 30개입 피로회복 액상 마시는 미네랄 종합영양제,120000,4.9,2684,202604
20260412,12868192572,70,안상규벌꿀,디즈니 푸 스퀴즈,68000,4.9,239,202604
20260412,8011765333,71,고려은단몰,"고려은단 메가도스B 비타민B 컴플렉스 60정, 3개 (6개월분)",50900,4.9,33017,202604
20260412,11293123503,72,배석철의 아미나,배석철의 아미나 고용량 비타민B3 500mg 미국산 니코틴산아미드,48000,4.8,7541,202604
20260412,9773553247,73,다모아백화점,순담록 녹용 진액 30포 직장인 노인 청소년 아이 어린이 녹용 즙,139000,4.8,3378,202604
20260412,13154735118,74,하루틴 공식스토어,[손흥민 PICK] 하루틴 리포좀 비타민C,177000,4.8,35209,202604
20260412,12017475977,75,리:바디랩,"[공식판매처] 헤이데일리 NMN-C 10포, 5개",170000,4.7,2309,202604
