date,code,rank,brand,product,price,star,review,url,period_ym
20260426,4755872512,1,비에날몰,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,297000,4.8, 87003,https://smartstore.naver.com/bnrmall/products/4755872512,202604
20260426,138663861,2,고려은단비타민C,고려은단 비타민C 1000 600정 X 1개 (20개월분),50000,4.9, 99999,https://smartstore.naver.com/withvitamin/products/138663861,202604
20260426,5866524379,3,고려은단몰,"고려은단 메가도스C 비타민C 3000mg X 100포 (300g), 2개",53900,4.9, 99999,https://smartstore.naver.com/koreaeundanhc/products/5866524379,202604
20260426,7999337429,4,그레인온,그레인온 골드 카무트 효소,105000,4.9, 90692,https://smartstore.naver.com/grainon/products/7999337429,202604
20260426,9669821031,5,고려은단몰,"고려은단 식물성 퓨어 알티지 오메가3 60캡슐, 3개 (6개월분)",53900,4.9, 96471,https://smartstore.naver.com/koreaeundanhc/products/9669821031,202604
20260426,232155349,6,GNM 자연의품격,GNM 조정석 건강한 간 밀크씨슬 5박스(총 5개월분) / 간건강 실리마린 비타민B,35900,4.8, 99999,https://smartstore.naver.com/gnm/products/232155349,202604
20260426,2542069072,7,GNM 자연의품격,"[EPA+DHA 1,000mg/1일] GNM 조정석 rTG 알티지오메가3 60캡슐 5박스",79900,4.9, 30047,https://smartstore.naver.com/gnm/products/2542069072,202604
20260426,5159725770,8,GNM 자연의품격,GNM 조정석 루테인 지아잔틴 아스타잔틴 3박스(총 3개월분),79900,4.9, 45596,https://smartstore.naver.com/gnm/products/5159725770,202604
20260426,12058710926,9,GNM 자연의품격,GNM 올리브오일 1000mg 30캡슐 5박스 / 유기농 엑스트라버진 올리브유,65000,4.9, 12883,https://smartstore.naver.com/gnm/products/12058710926,202604
20260426,7888865954,10,GNM 자연의품격,[종합비타민+밀크씨슬 +루테인+오메가3]GNM 올인원 뉴트리션 멀티비타민 1박스,70000,4.9, 40509,https://smartstore.naver.com/gnm/products/7888865954,202604
20260426,4989004696,11,조선비책,조선비책 침향환 초고함량 발효 침향 효능 침향단 체내흡수2.5배 침향원 1박스60환,608000,4.9, 68980,https://smartstore.naver.com/josunbichaek/products/4989004696,202604
20260426,9240775762,12,비시스,고려은단 비타민C 1000 영국산 고함량 비타민씨 600정,50400,4.9, 9355,https://smartstore.naver.com/hiwater/products/9240775762,202604
20260426,9914864124,13,뉴트라이트,비에날씬 BNR17 비엔날씬 유산균 BMR17 김희선 다이어트 유산균 60캡슐 1개 보냉백,45800,4.8, 1887,https://smartstore.naver.com/nutright/products/9914864124,202604
20260426,12168694379,14,식이해법연구소,고체 레몬즙 레모너리 2박스 120정,54500,4.7, 1631,https://smartstore.naver.com/kdietcode/products/12168694379,202604
20260426,5579280566,15,GNM 자연의품격,[총 9개월분] GNM 칼슘 마그네슘 아연 비타민D 90정 x 3병 / 칼마디,43900,4.9, 56658,https://smartstore.naver.com/gnm/products/5579280566,202604
20260426,11753835293,16,종근당건강,[+멤버십 10%적립] 종근당건강 락토핏 코어 360 기획세트(360일분),125000,4.9, 41497,https://smartstore.naver.com/healthbell/products/11753835293,202604
20260426,438888608,17,GNM 자연의품격,[식물성캡슐] GNM 코엔자임Q10 비타민 미네랄 10종 4박스 / 코큐텐,49900,4.8, 81375,https://smartstore.naver.com/gnm/products/438888608,202604
20260426,9396259383,18,고려은단몰,"고려은단 루테인 지아잔틴 아스타잔틴 60캡슐, 3개 (6개월분)",68900,4.9, 58849,https://smartstore.naver.com/koreaeundanhc/products/9396259383,202604
20260426,10556547785,19,정관장브랜드스토어,[네이버단독] 정관장 에브리타임 소프트 10ml 50포,129000,4.9, 44131,https://smartstore.naver.com/kgcshop2304/products/10556547785,202604
20260426,7738435345,20,고려은단몰,"고려은단 프로바이오틱스 유산균 스페셜핏 100억 유산균 30캡슐, 3개",50900,4.9, 41969,https://smartstore.naver.com/koreaeundanhc/products/7738435345,202604
20260426,12085385840,21,JUNE.MARKET,오쏘몰 이뮨 멀티비타민 30일분 동아제약 국내배송 쇼핑백,113800,4.9, 517,https://smartstore.naver.com/june__market/products/12085385840,202604
