date,code,rank,brand,product,price,star,review,period_ym
20260405,11382081892,76,더 파인 프리미엄,[본사직영몰] 신애라 PICK 더파인프리미엄 90캡슐 100% 솔잎증류농축액 혈당케어관리,308000,4.7,817,202604
20260405,12770002366,77,안국건강,"[총10개월분] 안국건강 아이원 루테인지아잔틴 미니 60캡슐, 5개",125000,4.9,4050,202604
20260405,9806724450,78,위드바인 스토어,위드바인 비타민C 3000mg 120포 (1일 2회 2개월분),48000,4.9,6749,202604
20260405,10635493385,79,티에스shop,센트룸 우먼 더블업 멀티비타민 112정,35900,4.8,6781,202604
20260405,10258863076,80,익스트림공식스토어,익스트림 남성 올인원 영양제 멀티 종합 비타민 멀티팩 포맨,100000,4.9,8940,202604
20260405,7285790085,81,뉴트리 모어,[3+1] 뉴트리모어 프리미엄 액상 리포퍼 철분제 임산부 수유부 산후영양제 24mg,156000,4.9,30994,202604
20260405,12727841644,82,대웅제약 공식건강몰,에너씨슬 집중샷 오렌지1박스+샤인머스캣 2박스 식물성카페인 아르기닌 스터디젤리,195000,4.9,634,202604
20260405,7524822409,83,제트큐브,종근당 프로메가 알티지오메가3 비타민D 6박스 6개월분,44700,4.8,10643,202604
20260405,10223445454,84,메디홉 플러스,메디홉 GABA 비뮤트 프리미엄 (1박스),37900,4.5,2034,202604
20260405,9919690069,85,닥터린 공식스토어,[6개월] 닥터린 올인원 멀티비타민미네랄 맥스 종합비타민 영양제,107400,4.8,13615,202604
20260405,11810132964,86,드시모네 스토어,드시모네 캡슐 플러스 (120캡슐) x 2박스 (총 240캡슐) (+슈퍼적립),376000,4.9,6659,202604
20260405,11335082320,87,비타헬스,종근당 눈 루테인 지아잔틴 아스타잔틴 영양제 2개월분,35000,4.8,981,202604
20260405,10476190810,88,셀로닉스,셀티아이 골드 프로바이오틱스 성인 장 건강 맞춤 유산균,100000,4.9,10876,202604
20260405,741820195,89,The Real,더리얼 캐나다 알티지 rTG 오메가3 맥스 1400 초임계 2개월 EPA DHA,49900,4.8,99999,202604
20260405,10226290996,90,뉴트리 모어,[3+1] 뉴트리모어 활성엽산 액티브 플러스 엽산 400 임신준비 임산부 영양제,120000,4.9,61081,202604
20260405,9250205751,91,빅원더,골드 카무트 효소 골든 프리미엄 카무드 곡물 임산부 소화효소제 효능 그레이온 캬무트 먹는법,20900,4.7,403,202604
20260405,11750836328,92,고려은단몰,[네이버 단독]고려은단 메가도스 이뮨샷 30병 종합멀티비타민+아미노산+아르기닌,57900,4.9,27667,202604
20260405,6120474284,93,담백하루,담백하루 초임계 알티지 오메가3 1000 360캡슐 12개월 12박스 비타민D600IU 에센스,360000,4.9,9697,202604
20260405,7445610509,94,제트큐브,종근당 프로메가 알티지오메가3 비타민D 12박스 12개월분,76000,4.9,5105,202604
20260405,2040214150,95,덴프스,덴마크 유산균이야기,368000,4.9,99999,202604
20260405,12759478850,96,Soltice,솔티스 간 프로텍션 쉬잔세틴 개별인정원료,83700,4.6,575,202604
20260405,10093054599,97,영양닷컴,고려은단 메가도스 비타민C 3000 고함량 비타민씨 영국산비타민c 가루 2개월,38000,4.9,2310,202604
20260405,12017475977,98,리:바디랩,"[공식판매처] 헤이데일리 NMN-C 10포, 5개",170000,4.7,2182,202604
20260405,6736755339,99,위바이옴,서울대 위바이옴 두뇌엔 닥터PS 70 포스파티딜세린 분말 세린에이드,267000,4.8,16910,202604
20260405,12765563240,100,고려은단몰,"고려은단 뼈건강 칼마디+K2 칼슘·마그네슘·비타민D·비타민K 60정, 3개 (6개월분)",53700,4.9,2191,202604
