date,code,rank,brand,product,price,star,review,url,period_ym
20260426,921556530,476,우주, 우주 별사탕 30 g ,1000,4.7,41,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=921556530&recmYn=N,202604
20260426,126800539,477,동아, 동아 계피맛 캔디 100g ,1000,4.8,137,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=126800539&recmYn=N,202604
20260426,982725108,478,허쉬, 허쉬 밀크 초콜릿 칩 80 g ,2000,4.7,87,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=982725108&recmYn=N,202604
20260426,939534083,479,추억의, 추억의 달고나 캔디  ,1000,4.8,60,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=939534083&recmYn=N,202604
20260426,925733214,480,담터, 담터 생강차 플러스 120g (15gx8개입) ,2000,4.6,110,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=925733214&recmYn=N,202604
20260426,611779143,481,로얄젤리, 로얄젤리 멀티비타민 캔디 30 g ,1000,4.8,13,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=611779143&recmYn=N,202604
20260426,317839044,482,스위트, 스위트 케이크 모양 젤리 66 g ,2000,4.7,23,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=317839044&recmYn=N,202604
20260426,317839036,483,스트로베리즈, 스트로베리즈 위드 크림 향 젤리 75 g ,2000,4.7,22,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=317839036&recmYn=N,202604
20260426,317836740,484,롤라, 롤라 벨타 딸기 향 20 g ,500,4.7,76,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=317836740&recmYn=N,202604
20260426,121609959,485,하리보, 하리보 프리마베라 80 g ,1500,4.7,87,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=121609959&recmYn=N,202604
20260426,104569171,486,오뚜기, 오뚜기 제주식 멜젓 소스 325 g ,5000,4.8,34,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=104569171&recmYn=N,202604
20260426,925667513,487,허쉬오리지날핫초코, 허쉬오리지날핫초코 ,5000,4.8,127,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=925667513&recmYn=N,202604
20260426,621089812,488,까먹는, 까먹는 젤리 100 g 혼합 맛 ,2000,4.5,55,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=621089812&recmYn=N,202604
20260426,317839431,489,파이어, 파이어 데블 젤리 80 g ,2000,,0,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=317839431&recmYn=N,202604
20260426,245600012,490,청양고추, 청양고추 쇠고기 육포 33 g ,3000,4.7,39,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=245600012&recmYn=N,202604
20260426,012600637,491,로투스, 로투스 비스코프 샌드 바닐라 150 g ,3000,4.7,252,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=012600637&recmYn=N,202604
20260426,967852084,492,트롤리, 트롤리 상어 모양 젤리 100 g ,2000,4.7,49,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=967852084&recmYn=N,202604
20260426,900464370,493,스틱, 스틱 젤리 청포도 맛 60 g ,1000,4.6,79,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=900464370&recmYn=N,202604
