date,code,rank,brand,product,price,like
20260323,11654769,36,려원담,"""면역력과 피로개선 필요한 당신"" 6년근 홍삼정 에버타임 홍삼 스틱 30포 (쇼핑백)_카쇼페",29800,7656
20260323,6962146,37,GNC,"""미국에서온명품비타민"" GNC 멀티비타민 + 밀크씨슬 선물세트 + 신년카드 + 리미티드 패키지 + 감사카드",30000,8582
20260323,1300056,38,정관장,[정관장] 활기력 (20ml X 16병),46000,10000
20260323,2103519,39,고려은단,고려은단 비타민C 1000 180정/이지+비타민D 180정(2종 택1),18000,20000
20260323,8475974,40,농협-한삼인,"[카쇼페] ""하루1병 건강관리"" 한삼인 홍삼진 굿데이앰플 20병+선물포장+쇼핑백+리뷰 스벅쿠폰/직장인 친구 지인 선물",30500,20000
20260323,8213408,41,오쏘몰,"""독일 오쏘몰 신제품"" 오쏘몰 바이탈 m/f 남성/여성 선택가능 30+1입 기획팩 - 시그니처 기프트 에디션 (공식수입)",109000,4915
20260323,11731899,42,고려은단,"""NEW"" 고려은단 멀티비타민 올인원 종합비타민 60정 (4종 택1)",21900,7810
20260323,9973467,43,내츄럴플러스,"""피로개선&활력"" 내츄럴플러스 피로개선 액상 멀티비타민 이뮨샷 7병 2박스+이뮨2병+쇼핑백/ 밀크씨슬 액상 비타민",30000,10000
20260323,5347593,44,홀랜드앤바렛,"""건강선물 추천"" 영국에서 온 프리미엄 비타민 홀랜드앤바렛 영양제 3종 세트 (필케이스 증정)",39000,20000
20260323,10244910,45,정관장(LuX),[정관장] 에브리타임 샷 코어 (20ml x 30병) _ 대한민국 명품 홍삼,135000,2475
20260323,7621131,46,정관장,[정관장] 에브리타임 샷 (20ml x 20병) _ 대한민국 명품 홍삼정농축액 함유,61800,8985
20260323,7228300,47,노티드(건강),"""귀여운 비타민젤리"" [사쉐 증정] 노티드 비타민 꾸미 (60구미) + 구미파우치 증정 / 멀티비타민 비타민C D 유산균",17900,30000
20260323,7228282,48,노티드(건강),"""맛있는 구미 비타민"" [돗자리 증정 EVENT/사쉐증정] 노티드 비타민 꾸미 선물세트 단독에디션(120구미) + 쇼핑백 증정 / 멀티비타민",29900,20000
20260323,1375498,49,종근당건강,"[헬로키티 에디션] ""네임택 단독 증정"" [단독] 락토핏 골드 선물세트 헬로키티 에디션(3개월분) + 헬로키티 네임택 증정",22900,30000
20260323,976953,50,고려은단,"""1등 비타민C"" 고려은단 비타민C 1000 300정 (10개월분)",30000,4827
20260323,10894352,51,덴프스,"""원조 한팩비타민"" 트루바이타민 1박스(1개월분) 고함량 비타민 부모님 수험생 직장인 선물 활력충전 프리미엄 멀티비타민",25000,4209
20260323,7556791,52,익스트림,"[선물포장] ""에너지 활력선물"" [김종국 추천세트]익스트림 아르기닌정 (2개월분) & 마카800 (1.5개월분) + 선물포장",29900,20000
20260323,11320107,53,엔젯오리진,"""맛있는 비타민 젤리"" [벨리곰 PICK] 엔젯오리진 비타민 구미 모음전 택1(멀티/귤젤리/엘더베리/비타민B/비타민D/석류콜라겐구미)",11900,6724
20260323,1283024,54,GNM자연의품격,"""지금은 힘낼시간"" [4개월분] GNM 건강한 간 밀크씨슬 선물세트 1박스 / 실리마린 비타민B 부모님 직장인 수험생 선물",21900,10000
20260323,4925961,55,허벌랜드,"""캐나다명품비타민젤리"" 허벌랜드 5종(면역부스트/멀티비타민/고함량 비타민D/눈건강 루테인/고함량 비오틴)식물성구미비타민젤리 택1",15900,40000
20260323,12030646,56,고려은단,"""최고심 유리컵 증정"" 고려은단 최고심 비타민C 쏠라C 젤리스틱 30포",27000,8406
20260323,4965835,57,아일로,"""선물하기 1등콜라겐"" 아일로 타입1 콜라겐 비오틴 앰플 28일분 달항아리 에디션 (고급 패키징 + 쇼핑백 증정)",61900,10000
20260323,7512381,58,설혜담,"""진세노 10mg"" [단독에디션/몰티져스증정] 춘식이가 응원해! 힘내라 홍삼정 6년근 홍삼스틱 30포 1박스/생일 축하 졸업 입학 응원 개업 선물",19500,20000
20260323,10028799,59,센트룸,[센트룸] 맛있는 멀티비타민 미네랄 멀티구미 (40구미),15000,10000
20260323,2119039,60,광동생활건강,"[광동]""선물 만족도 98% 비타500데일리스틱 2g*30포",9900,30000
20260323,9826560,61,동국제약,"""올인원비타민 2개월분"" 동국제약 마이핏V 멀티비타민 올인원 이뮨 60정(2개월분) + 쇼핑백",9900,30000
20260323,11206058,62,뉴트리포유,"""명품 비타민"" 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 10입+2입 증정 - 선물하기 단독 기획팩",29900,4349
20260323,11190425,63,설혜담,"""22종 멀티비타민"" 춘식이 파워 이뮨 멀티비타민 & 미네랄 7입 / 생일 응원 가벼운선물 부모님 직장인 수험생 건강 선물",21900,20000
20260323,8115910,64,아젠다,"""엄마부터 챙기세요"" 독일산 명품 여성 멀티 비타민 임신/출산 축하 기프트 AGENDA 에너지 충전 헤리티지 2개입 스페셜 기프트 패키지 SET",49900,6782
20260323,11574965,65,고려은단,"""맛있는 비타민 젤리"" 고려은단 멀티비타민 구미 (마루는강쥐 에디션) 60구미",14900,8982
20260323,2573146,66,고려은단,"""비타민C+D"" 고려은단 비타민C 1000 이지+비타민D 120정",12000,10000
20260323,7267751,67,옵티젠,"""한국인 맞춤 비타민"" 옵티젠 이뮨 멀티비타민&미네랄/바이탈 밀크씨슬&비타민(B,C,D,E)/리프레쉬 마그네슘&징코플러스/10입x2박스 +패키지",50000,5666
20260323,10650891,68,뉴트리포유,"""명품 비타민"" 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 30입+2입 증정 - 선물하기 단독 기획팩",56900,4634
20260323,7575872,69,닥터프로그램,"""임신/출산 축하선물"" [선물 박스]닥터프로그램 차병원 마더스케어 올인원 플러스 (1개월분) 임신준비 임산부 출산 후 영양제 엽산 종합 멀티비타민",54900,1188
20260323,9980937,70,플라이밀,"""속세의맛"" 플라이밀 단백질쉐이크 1통+보틀세트, 13가지맛 택1 + 쇼핑백증정",26900,10000
20260323,12201735,71,한끼통살,[부족함 없이 인기상품만 넣은] [한끼통살]닭가슴살 Non-stop 올인원 패키지 36팩+[증정]수저세트,50900,459
20260323,9499437,72,농협-한삼인,"[카쇼페] ""홍삼앰플+비타민9병"" 농협 한삼인 멀티비타G 이뮨샷 (7+2입)+리뷰 스벅쿠폰/홍삼+멀티비타민+미네랄 20종/직장인 친구 연인 선물",21900,30000
